project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	creation_datetime	is_ffpe	portion_number	state	weight
HCMI-CMDC	0bcca666-3c62-4eb9-a47c-93bb7c020ad6	HCM-WCMC-0673-C56	0aa9504e-58c3-42ca-880b-ec0ad8b47a80	HCM-WCMC-0673-C56-01A	3f9ed99f-3ea8-48d9-b88b-44d065603e3d	HCM-WCMC-0673-C56-01A-10	1605484800	True	'--	released	'--
HCMI-CMDC	0bcca666-3c62-4eb9-a47c-93bb7c020ad6	HCM-WCMC-0673-C56	37023d36-7e3c-4742-85a6-80aa36b9544b	HCM-WCMC-0673-C56-05A	8309f25e-1a2d-4ea2-b8ea-9584ddc74921	HCM-WCMC-0673-C56-05A-25	1611014400	True	'--	released	'--
HCMI-CMDC	0bcca666-3c62-4eb9-a47c-93bb7c020ad6	HCM-WCMC-0673-C56	5d213f4f-9480-48eb-a2d3-b0991cb15e18	HCM-WCMC-0673-C56-10A	c49d11ea-6cd4-4b45-8aeb-ed30d19616e9	HCM-WCMC-0673-C56-10A-01	1605744000	False	'--	released	2.0
HCMI-CMDC	0bcca666-3c62-4eb9-a47c-93bb7c020ad6	HCM-WCMC-0673-C56	674b69b7-7e0d-42d6-9771-d29747844908	HCM-WCMC-0673-C56-85B	9589538b-aafc-51fc-97c2-12701246c65c	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0bcca666-3c62-4eb9-a47c-93bb7c020ad6	HCM-WCMC-0673-C56	674b69b7-7e0d-42d6-9771-d29747844908	HCM-WCMC-0673-C56-85B	4be65e74-9b0a-548a-8eb7-2e542efab326	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0bcca666-3c62-4eb9-a47c-93bb7c020ad6	HCM-WCMC-0673-C56	ae24cb18-3098-48b0-aa90-a77308abfb16	HCM-WCMC-0673-C56-86B	97b59c55-50d1-56b0-b1d4-27a2e1ad9735	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0bcca666-3c62-4eb9-a47c-93bb7c020ad6	HCM-WCMC-0673-C56	b11a0e96-7747-4aa2-acac-2e6cee9b880c	HCM-WCMC-0673-C56-86A	b127fb23-2458-510e-bae1-f0ecc369a918	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0cf7d1fe-e9c7-4e84-9497-df13ca2ed2c9	HCM-SANG-0287-C20	06c2d962-ede5-4f2f-81dd-dc9253a9ddf5	HCM-SANG-0287-C20-01A-01D-A80T-32	4b934593-d895-5d7b-be50-a4ba8499a4bd	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0cf7d1fe-e9c7-4e84-9497-df13ca2ed2c9	HCM-SANG-0287-C20	31866d02-8351-497c-8c73-1fc5fef584aa	HCM-SANG-0287-C20-01A	003cfb21-0ffb-44e2-9961-ebdd5c39f361	HCM-SANG-0287-C20-01A-01	1560470400	False	'--	released	'--
HCMI-CMDC	0cf7d1fe-e9c7-4e84-9497-df13ca2ed2c9	HCM-SANG-0287-C20	38243f28-93e3-4a8a-bf92-8019a07b3bec	HCM-SANG-0287-C20-85A-01D-A80T-32	99e3e54a-9ae7-5439-87b8-cb106969ba50	'--	'--	'--	'--	'--	'--
