"patient_id","common_name","cancer_type","other_names","species","improve_sample_id","id_source","other_id","model_type"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC BL 70","Homo sapiens (Human)",12,"COSMIC","910707","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC BL 70","Homo sapiens (Human)",12,"Cellosaurus","CVCL_1088","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J","Homo sapiens (Human)",13,"DepMap","ACH-000011","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J","Homo sapiens (Human)",13,"Sanger","SIDM01529","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J","Homo sapiens (Human)",13,"CCLE","253J_URINARY_TRACT","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J","Homo sapiens (Human)",13,"Cellosaurus","CVCL_7935","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253-J","Homo sapiens (Human)",13,"DepMap","ACH-000011","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253-J","Homo sapiens (Human)",13,"Sanger","SIDM01529","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253-J","Homo sapiens (Human)",13,"CCLE","253J_URINARY_TRACT","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253-J","Homo sapiens (Human)",13,"Cellosaurus","CVCL_7935","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J-P","Homo sapiens (Human)",13,"DepMap","ACH-000011","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J-P","Homo sapiens (Human)",13,"Sanger","SIDM01529","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J-P","Homo sapiens (Human)",13,"CCLE","253J_URINARY_TRACT","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J-P","Homo sapiens (Human)",13,"Cellosaurus","CVCL_7935","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J P","Homo sapiens (Human)",13,"DepMap","ACH-000011","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J P","Homo sapiens (Human)",13,"Sanger","SIDM01529","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J P","Homo sapiens (Human)",13,"CCLE","253J_URINARY_TRACT","cell line"
"PT-AR7W9o","253J","Bladder Carcinoma","253J P","Homo sapiens (Human)",13,"Cellosaurus","CVCL_7935","cell line"
NA,NA,"Small Cell Lung Carcinoma","NCI-H1339","Homo sapiens (Human)",14,"DepMap","ACH-000921","cell line"
NA,NA,"Small Cell Lung Carcinoma","NCI-H1339","Homo sapiens (Human)",14,"Sanger","SIDM01387","cell line"
NA,NA,"Small Cell Lung Carcinoma","NCI-H1339","Homo sapiens (Human)",14,"CCLE","NCIH1339_LUNG","cell line"
NA,NA,"Small Cell Lung Carcinoma","NCI-H1339","Homo sapiens (Human)",14,"Cellosaurus","CVCL_A472","cell line"
NA,NA,"Small Cell Lung Carcinoma","H-1339","Homo sapiens (Human)",14,"DepMap","ACH-000921","cell line"
NA,NA,"Small Cell Lung Carcinoma","H-1339","Homo sapiens (Human)",14,"Sanger","SIDM01387","cell line"
